Country,ISO3,River flood hazard (0-10),Severe threshold
Viet Nam,VNM,9.9,8.0
Thailand,THA,9.8,8.0
Myanmar,MMR,8.8,8.0
Cambodia,KHM,8.6,8.0
Indonesia,IDN,8.4,8.0
Lao PDR,LAO,8.2,8.0
Malaysia,MYS,6.8,8.0
Philippines,PHL,6.7,8.0
Brunei Darussalam,BRN,4.7,8.0
Singapore,SGP,0.0,8.0
