RiverBasin,LaharVolumeBillionM3,ShareOfRiverBoundPct,ThreatenedBarangays,ThreatenedTowns
Bucao River,3.0,63.8,6,Botolan
Santo Tomas River,1.6,34.0,15,"San Marcelino, San Felipe, San Narciso"
Other Zambales channels,0.1,2.2,,
