Date,EventLabel,Individuals,Families,BarangaysAffected,Scope,Source
2026-08-10,First evacuation,517,165,11,Olongapo City,"Inquirer / GMA News, 2026-08-10"
2026-08-17,Bridges reach evacuation level,,,,Olongapo City,"Inquirer, 2026-08-17"
2026-08-18,Second evacuation,1076,336,,Olongapo City,"Inquirer, 2026-08-18"
2026-08-28,Flooding and soil erosion; roads impassable,,,,Olongapo City,"Inquirer, 2026-08-28/29"
